kind	name	rust_symbol	rust_test	evidence	status
function	fdb_blob_make	fdb_blob_make	c_test_fdb_create_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_blob_read	fdb_blob_read	c_test_fdb_create_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_calc_crc32	fdb_calc_crc32	status_bits_follow_flashdb_predecrement_encoding	reports/evidence/api-c-link.json	PASS
function	fdb_kv_del	fdb_kv_del	c_test_fdb_del_kv_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_get	fdb_kv_get	c_test_fdb_create_kv_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_get_blob	fdb_kv_get_blob	c_test_fdb_create_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_get_obj	fdb_kv_get_obj	c_test_fdb_create_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_iterate	fdb_kv_iterate	c_test_fdb_gc_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_iterator_init	fdb_kv_iterator_init	c_test_fdb_gc_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_print	fdb_kv_print	c_test_fdb_create_kv_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_set	fdb_kv_set	c_test_fdb_change_kv_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_set_blob	fdb_kv_set_blob	c_test_fdb_change_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_set_default	fdb_kv_set_default	c_test_fdb_kvdb_set_default_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kv_to_blob	fdb_kv_to_blob	c_test_fdb_create_kv_blob_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kvdb_check	fdb_kvdb_check	test_fdb_kvdb_check	reports/evidence/api-c-link.json	PASS
function	fdb_kvdb_control	fdb_kvdb_control	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kvdb_deinit	fdb_kvdb_deinit	c_test_fdb_kvdb_deinit_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_kvdb_init	fdb_kvdb_init	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsdb_control	fdb_tsdb_control	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsdb_deinit	fdb_tsdb_deinit	c_test_fdb_tsdb_deinit_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsdb_init	fdb_tsdb_init	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_append	fdb_tsl_append	c_test_fdb_tsl_append_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_append_with_ts	fdb_tsl_append_with_ts	test_fdb_tsl_append_with_ts	reports/evidence/api-c-link.json	PASS
