rule_id	status	evidence
BASE-01	PASS	reports/evidence/final-source.json
PROF-01	PASS	reports/evidence/final-profile.json
IMM-01	PASS	reports/evidence/final-source.json
COV-01	PASS	reports/evidence/final-c-coverage.json;reports/evidence/final-api.json
API-01	PASS	reports/evidence/final-api.json;reports/evidence/final-c-link.json
TDD-01	PASS	reports/evidence/final-c-coverage.json
INT-01	PASS	reports/evidence/final-profile.json
LAY-01	PASS	reports/evidence/final-interop.json
STA-01	PASS	reports/evidence/final-c-link.json
PST-01	PASS	reports/evidence/final-interop.json
XIO-01	PASS	reports/evidence/final-interop.json
ABI-01	PASS	reports/evidence/final-api.json;reports/evidence/final-c-link.json
MEM-01	PASS	reports/evidence/final-rust-policy.json
ERR-01	PASS	reports/evidence/final-c-link.json
CBK-01	PASS	reports/evidence/final-interop.json
GLB-01	PASS	reports/evidence/final-rust-policy.json;reports/evidence/final-interop.json
EVD-01	PASS	reports/evidence/final-c-coverage.json;reports/evidence/final-api.json
LOG-01	PASS	reports/evidence/final-trace.json
VER-01	PASS	reports/evidence/final-build.json
